CDP Policy Name,LLDP Policy Name,Port-Channel Name,Port-Channel Mode,Leaf_Access Port Policy Group Name,Link_Level_Policy,AEP
CDP-Enable,LLDP-Enable,LACP_Active,active,PAN_vWire_Port_1,10G,SPOD-1
CDP-Disable,LLDP-Disable,LACP_MACPin,mac-pin,PAN_vWire_Port_2,10G,SPOD-1
