CDP Policy Name,LLDP Policy Name,Port-Channel Name,Port-Channel Mode,VPC Policy Group Name,Link_Level_Policy,AEP,Link-type,VPC-Switch_1,VPC-Switch_2,Domain_Type,VM_Provider,Domain,Port,Port,ESX-Hosts Vlan,VM-vMotion VLAN
CDP-Enable,LLDP-Disable,Static-On,active,N-P-NXCHAS04-A,10G,SPOD-1,node,101,102,vmm,vmware,SPOD-1,38,26,48,50
CDP-Enable,LLDP-Disable,Static-On,active,N-P-NXCHAS04-B,10G,SPOD-1,node,101,102,vmm,vmware,SPOD-1,36,26,48,50
CDP-Enable,LLDP-Disable,Static-On,active,N-P-NXCHAS04-C,10G,SPOD-1,node,101,102,vmm,vmware,SPOD-1,34,26,48,50
CDP-Enable,LLDP-Disable,Static-On,active,N-P-NXCHAS04-D,10G,SPOD-1,node,101,102,vmm,vmware,SPOD-1,32,26,48,50
